dataset,cenario,detector,tipo,n,rank_no_tipo,feature,mdi
pamap2_ankle,drift,KSWIN,score,13,4,score_ankle_mag_y,0.088109
pamap2_ankle,drift,KSWIN,score,13,5,score_ankle_acc6_y,0.070157
pamap2_ankle,drift,KSWIN,score,13,6,score_ankle_acc6_x,0.06777
pamap2_ankle,drift,KSWIN,score,13,7,score_ankle_acc16_y,0.056874
pamap2_ankle,drift,KSWIN,score,13,8,score_ankle_acc16_z,0.050356
pamap2_ankle,drift,KSWIN,score,13,9,score_ankle_gyro_z,0.039654
pamap2_ankle,drift,KSWIN,score,13,10,score_ankle_gyro_x,0.038926
pamap2_ankle,drift,KSWIN,score,13,11,score_ankle_gyro_y,0.031972
pamap2_ankle,drift,KSWIN,score,13,12,score_ankle_acc16_x,0.026295
pamap2_ankle,drift,KSWIN,score,13,13,score_ankle_temperature,0.001198
pamap2_ankle,drift,KSWIN,original,13,1,ankle_acc6_x,0.039936
pamap2_ankle,drift,KSWIN,original,13,2,ankle_acc16_x,0.030548
pamap2_ankle,drift,KSWIN,original,13,3,ankle_mag_z,0.019804
pamap2_ankle,drift,KSWIN,original,13,4,ankle_mag_x,0.017303
pamap2_ankle,drift,KSWIN,original,13,5,ankle_acc6_y,0.007414
pamap2_ankle,drift,KSWIN,original,13,6,ankle_acc16_y,0.006617
pamap2_ankle,drift,KSWIN,original,13,7,ankle_gyro_z,0.004752
pamap2_ankle,drift,KSWIN,original,13,8,ankle_temperature,0.003759
pamap2_ankle,drift,KSWIN,original,13,9,ankle_mag_y,0.002147
pamap2_ankle,drift,KSWIN,original,13,10,ankle_gyro_x,0.000896
pamap2_ankle,drift,KSWIN,original,13,11,ankle_acc6_z,0.000551
pamap2_ankle,drift,KSWIN,original,13,12,ankle_acc16_z,0.000548
pamap2_ankle,drift,KSWIN,original,13,13,ankle_gyro_y,0.000212
pamap2_ankle,catch24_drift,KSWIN,score,13,1,score_ankle_mag_z,0.037786
pamap2_ankle,catch24_drift,KSWIN,score,13,2,score_ankle_mag_x,0.037383
pamap2_ankle,catch24_drift,KSWIN,score,13,3,score_ankle_acc6_z,0.036856
pamap2_ankle,catch24_drift,KSWIN,score,13,4,score_ankle_acc16_y,0.035655
pamap2_ankle,catch24_drift,KSWIN,score,13,5,score_ankle_gyro_z,0.035336
pamap2_ankle,catch24_drift,KSWIN,score,13,6,score_ankle_acc6_x,0.032837
pamap2_ankle,catch24_drift,KSWIN,score,13,7,score_ankle_mag_y,0.029546
pamap2_ankle,catch24_drift,KSWIN,score,13,8,score_ankle_acc6_y,0.029375
pamap2_ankle,catch24_drift,KSWIN,score,13,9,score_ankle_acc16_z,0.029235
pamap2_ankle,catch24_drift,KSWIN,score,13,10,score_ankle_gyro_x,0.025792
pamap2_ankle,catch24_drift,KSWIN,score,13,11,score_ankle_gyro_y,0.023515
pamap2_ankle,catch24_drift,KSWIN,score,13,12,score_ankle_acc16_x,0.017647
pamap2_ankle,catch24_drift,KSWIN,score,13,13,score_ankle_temperature,0.000951
pamap2_ankle,catch24_drift,KSWIN,catch,13,1,ankle_acc16_x__mean,0.041424
pamap2_ankle,catch24_drift,KSWIN,catch,13,2,ankle_acc6_x__mean,0.03788
pamap2_ankle,catch24_drift,KSWIN,catch,13,3,ankle_gyro_z__SD,0.035
pamap2_ankle,catch24_drift,KSWIN,catch,13,4,ankle_acc16_y__SD,0.027259
pamap2_ankle,catch24_drift,KSWIN,catch,13,5,ankle_acc6_y__SD,0.023025
pamap2_ankle,catch24_drift,KSWIN,catch,13,6,ankle_acc16_x__SD,0.021273
pamap2_ankle,catch24_drift,KSWIN,catch,13,7,ankle_acc6_x__SD,0.019931
pamap2_ankle,catch24_drift,KSWIN,catch,13,8,ankle_acc6_z__SD,0.013839
pamap2_ankle,catch24_drift,KSWIN,catch,13,9,ankle_acc16_z__SD,0.012605
pamap2_ankle,catch24_drift,KSWIN,catch,13,10,ankle_gyro_x__SD,0.011133
pamap2_ankle,catch24_drift,KSWIN,catch,13,11,ankle_mag_y__SD,0.01044
pamap2_ankle,catch24_drift,KSWIN,catch,13,12,ankle_gyro_x__mean,0.009443
pamap2_ankle,catch24_drift,KSWIN,catch,13,13,ankle_gyro_y__SD,0.009373
pamap2_ankle,catch24_drift,KSWIN,original,13,1,ankle_acc16_x,0.015903
pamap2_ankle,catch24_drift,KSWIN,original,13,2,ankle_acc6_x,0.013583
pamap2_ankle,catch24_drift,KSWIN,original,13,3,ankle_acc16_y,0.008907
pamap2_ankle,catch24_drift,KSWIN,original,13,4,ankle_mag_z,0.008864
pamap2_ankle,catch24_drift,KSWIN,original,13,5,ankle_acc6_y,0.006962
pamap2_ankle,catch24_drift,KSWIN,original,13,6,ankle_mag_x,0.003653
pamap2_ankle,catch24_drift,KSWIN,original,13,7,ankle_temperature,0.001458
pamap2_ankle,catch24_drift,KSWIN,original,13,8,ankle_mag_y,0.001252
pamap2_ankle,catch24_drift,KSWIN,original,13,9,ankle_acc16_z,0.000888
pamap2_ankle,catch24_drift,KSWIN,original,13,10,ankle_acc6_z,0.000868
pamap2_ankle,catch24_drift,KSWIN,original,13,11,ankle_gyro_z,2e-06
pamap2_ankle,catch24_drift,KSWIN,original,13,12,ankle_gyro_x,0.0
pamap2_ankle,catch24_drift,KSWIN,original,13,13,ankle_gyro_y,0.0
occ,catch24,,catch,1,1,S1_Light__mean,0.083376
occ,drift,HDDMWeighted,score,17,1,score_S2_Light,0.047946
occ,drift,HDDMWeighted,score,17,2,score_S1_Light,0.016763
occ,drift,HDDMWeighted,score,17,3,score_S1_Temp,0.003045
occ,drift,HDDMWeighted,score,17,4,score_S4_Light,0.0
occ,drift,HDDMWeighted,score,17,5,score_S1_Sound,0.0
occ,drift,HDDMWeighted,score,17,6,score_S2_Sound,0.0
occ,drift,HDDMWeighted,score,17,7,score_S2_Temp,0.0
occ,drift,HDDMWeighted,score,17,8,score_S3_Light,0.0
occ,drift,HDDMWeighted,score,17,9,score_S3_Temp,0.0
occ,drift,HDDMWeighted,score,17,10,score_S4_Temp,0.0
occ,drift,HDDMWeighted,score,17,11,score_S3_Sound,0.0
occ,drift,HDDMWeighted,score,17,12,score_S5_CO2,0.0
occ,drift,HDDMWeighted,score,17,13,score_S5_CO2_Slope,0.0
occ,drift,HDDMWeighted,score,17,14,score_S6_PIR,0.0
occ,drift,HDDMWeighted,score,17,15,score_S7_PIR,0.0
occ,drift,HDDMWeighted,score,17,16,score_S4_Sound,0.0
occ,drift,HDDMWeighted,score,17,17,score_hour,0.0
occ,drift,HDDMWeighted,original,17,1,S1_Light,0.198351
occ,drift,HDDMWeighted,original,17,2,S5_CO2_Slope,0.114183
occ,drift,HDDMWeighted,original,17,3,S2_Light,0.110136
occ,drift,HDDMWeighted,original,17,4,S1_Sound,0.07692
occ,drift,HDDMWeighted,original,17,5,S2_Sound,0.076755
occ,drift,HDDMWeighted,original,17,6,S3_Light,0.071889
occ,drift,HDDMWeighted,original,17,7,S3_Sound,0.060713
occ,drift,HDDMWeighted,original,17,8,S2_Temp,0.050507
occ,drift,HDDMWeighted,original,17,9,S5_CO2,0.037348
occ,drift,HDDMWeighted,original,17,10,S1_Temp,0.029074
occ,drift,HDDMWeighted,original,17,11,S3_Temp,0.025928
occ,drift,HDDMWeighted,original,17,12,S7_PIR,0.023575
occ,drift,HDDMWeighted,original,17,13,S4_Light,0.018263
occ,drift,HDDMWeighted,original,17,14,S4_Temp,0.014032
occ,drift,HDDMWeighted,original,17,15,hour,0.011118
occ,drift,HDDMWeighted,original,17,16,S6_PIR,0.00749
occ,drift,HDDMWeighted,original,17,17,S4_Sound,0.005965
occ,catch24_drift,SEED,score,17,1,score_S1_Light,0.008236
occ,catch24_drift,SEED,score,17,2,score_S2_Light,0.006777
occ,catch24_drift,SEED,score,17,3,score_S4_Temp,0.006774
